mass_A
t	x	y	v	a
0.000000000e0	7.093173983e1	1.737238924e2		
8.341666667e-3	7.067947653e1	1.660298616e2	8.697347495e2	
1.668333333e-2	7.131013479e1	1.592187524e2	8.106855075e2	6.006362219e3
2.502500000e-2	7.156239809e1	1.525337749e2	8.576570415e2	1.455903631e4
3.336666667e-2	7.004881827e1	1.449658757e2	8.435115759e2	9.894567356e3
4.170833333e-2	6.803071183e1	1.389115564e2	7.373559311e2	1.204617060e4
5.005000000e-2	6.676939531e1	1.331095004e2	6.600050187e2	2.221717266e4
5.839166667e-2	6.613873705e1	1.280642344e2	4.811370142e2	4.176289127e4
6.673333333e-2	6.790458018e1	1.251632064e2	4.338475233e2	2.855180637e4
7.507500000e-2	7.282371461e1	1.252893380e2	4.276773459e2	1.664564153e4
8.341666667e-2	7.496795270e1	1.241541531e2	1.965688085e2	
9.175833333e-2	7.408503113e1	1.222621784e2		
