mass_B
t	x	y	v	a
0.000000000e0	7.039026666e1	1.690323614e2		
8.341666667e-3	7.061737559e1	1.651147324e2	4.856017890e2	
1.668333333e-2	7.118514791e1	1.609699944e2	4.875327654e2	5.431108581e3
2.502500000e-2	7.205402592e1	1.571089439e2	5.573118386e2	4.965253073e3
3.336666667e-2	7.235756670e1	1.517463902e2	5.963226111e2	3.139017440e3
4.170833333e-2	7.286346799e1	1.471932786e2	4.936349463e2	8.961181362e3
5.005000000e-2	7.387527057e1	1.436519695e2	4.986390703e2	9.698851887e3
5.839166667e-2	7.549415470e1	1.393012184e2	6.463157942e2	9.301420294e3
6.673333333e-2	7.731539935e1	1.334327634e2	6.789271078e2	5.054205939e3
7.507500000e-2	7.913664400e1	1.285761111e2	6.565635400e2	5.197117211e3
8.341666667e-2	8.196969123e1	1.235170981e2	7.463604732e2	6.603072336e3
9.175833333e-2	8.447853214e1	1.173283971e2	7.580296361e2	2.477288480e4
1.001000000e-1	8.791972069e1	1.123577914e2	8.170458268e2	2.068647482e4
1.084416667e-1	9.563053207e1	1.094901342e2	6.667030983e2	4.339275448e4
1.167833333e-1	9.766975491e1	1.070048314e2	3.998321507e2	7.728354003e4
1.251250000e-1	9.346385780e1	1.031812886e2	8.400091341e2	3.649648496e4
1.334666667e-1	8.549814356e1	1.000587286e2	8.257407412e2	3.322076083e4
1.418083333e-1	8.059126360e1	9.827440860e1	2.797753402e2	7.955280486e4
1.501500000e-1	8.247559252e1	9.650196921e1	5.918895027e2	6.471699448e4
1.584916667e-1	9.026647240e1	9.629960869e1	9.355652051e2	5.816947970e3
1.668333333e-1	9.805735228e1	9.559134688e1	6.602391669e2	5.202073051e4
1.751750000e-1	1.011746692e2	9.476949434e1	1.349043104e2	5.527586522e4
1.835166667e-1	9.868936634e1	9.343125435e1	3.787754708e2	9.144286694e3
1.918583333e-1	9.593256685e1	9.124059578e1	2.157666540e2	4.053297920e4
2.002000000e-1	9.704554969e1	9.022879320e1	4.000897263e2	4.783530441e4
2.085416667e-1	1.024081034e2	8.962171165e1	7.099903993e2	1.449404346e4
2.168833333e-1	1.088836399e2	8.982407217e1	6.033166085e2	3.201850989e4
2.252250000e-1	1.124541205e2	9.024496866e1	1.712151209e2	3.748993988e4
2.335666667e-1	1.115143266e2	8.871108933e1	1.508265527e2	8.744853621e3
2.419083333e-1	1.113119661e2	8.800282752e1	1.130319650e2	2.111417803e4
2.502500000e-1	1.125672337e2	8.714665985e1	2.671562959e2	2.227275886e4
2.585916667e-1	1.157331734e2	8.743865756e1	4.260004029e2	1.272230890e4
2.669333333e-1	1.195933520e2	8.821653254e1	4.404291346e2	6.600576264e3
2.752750000e-1	1.228938711e2	8.908636987e1	3.174509900e2	1.783071449e4
2.836166667e-1	1.247382868e2	8.947301643e1	1.347531823e2	1.528082714e4
2.919583333e-1	1.251149553e2	8.943405328e1	6.758689040e1	4.484825119e3
3.003000000e-1	1.257562571e2	8.898808233e1	1.451336717e2	8.006892464e3
3.086416667e-1	1.273458637e2	8.849288027e1	2.098768133e2	6.110336515e3
3.169833333e-1	1.291908439e2	8.830710561e1	1.619010849e2	6.787045144e3
3.253250000e-1	1.299600323e2	8.917243336e1	2.069974821e2	2.405233592e3
3.336666667e-1	1.323098609e2	8.978958989e1	2.379985902e2	4.798916176e3
3.420083333e-1	1.338223919e2	9.009325929e1	1.473151880e2	9.826458928e3
3.503500000e-1	1.347606751e2	8.997354714e1	9.144112270e1	5.029458577e3
3.586916667e-1	1.352884964e2	8.967157429e1	6.161155005e1	7.140167710e3
3.670333333e-1	1.357816533e2	9.009251393e1	8.360567685e1	1.170381080e4
3.753750000e-1	1.356974122e2	9.100510888e1	1.637282943e2	8.303686002e3
3.837166667e-1	1.345669432e2	9.253909435e1	1.989118489e2	3.680592978e3
3.920583333e-1	1.339296861e2	9.381360863e1	1.971880030e2	5.600772997e3
4.004000000e-1	1.328463490e2	9.534302577e1	1.642925031e2	5.711792930e3
4.087416667e-1	1.316992861e2	9.540675148e1	8.909048681e1	8.957871081e3
4.170833333e-1	1.315718347e2	9.610773433e1	2.597692561e2	1.249762367e4
4.254250000e-1	1.302335947e2	9.948519717e1	3.514975537e2	
4.337666667e-1	1.276208404e2	1.004410829e2		
