tape_A
t	L
0.000000000e0	1.220319068e1
8.341666667e-3	1.197775159e1
1.668333333e-2	1.161960719e1
2.502500000e-2	1.214039394e1
3.336666667e-2	1.146524640e1
4.170833333e-2	1.095110347e1
5.005000000e-2	1.142781234e1
5.839166667e-2	1.152904328e1
6.673333333e-2	1.185741986e1
7.507500000e-2	1.204886387e1
8.341666667e-2	1.153102037e1
9.175833333e-2	1.222998363e1
1.001000000e-1	1.232086091e1
1.084416667e-1	1.288800436e1
1.167833333e-1	1.238555029e1
1.251250000e-1	1.285930979e1
1.334666667e-1	1.288352464e1
1.418083333e-1	1.264747381e1
1.501500000e-1	1.328339743e1
1.584916667e-1	1.403795298e1
1.668333333e-1	1.418975956e1
1.751750000e-1	1.377837452e1
1.835166667e-1	1.433508082e1
1.918583333e-1	1.374768284e1
2.002000000e-1	1.422020699e1
2.085416667e-1	1.462014329e1
2.168833333e-1	1.413491437e1
2.252250000e-1	1.436377916e1
2.335666667e-1	1.513301271e1
2.419083333e-1	1.419702623e1
2.502500000e-1	1.508434591e1
2.585916667e-1	1.551087963e1
2.669333333e-1	1.478552938e1
2.752750000e-1	1.340262772e1
2.836166667e-1	1.405469955e1
2.919583333e-1	1.437277139e1
3.003000000e-1	1.260742809e1
3.086416667e-1	1.185096406e1
3.169833333e-1	1.088832674e1
3.253250000e-1	1.007972526e1
